Date;Pre-Prod No.;Product Code;Category;New Mould/ Client or Product;Status;Project Description;Client;Sales Rep;Unit Order No;Order Qty x1000;Product Material Colour (tube,jar etc.);Length;Material;Orifice;Diameter;Tube Shoulder colour;Cap/Lid Colour;Cap/Lid Diameter;Cap/Lid style;Cap/Lid Material;Other Cap/Lid info; Dust Controlled Area;Artwork required;Artwork Received;Ordered Plates;Plates Arrived;Sent on Trial;Trial approved;Machine;Comments;Weeks Taken (or parts thereof);Open or closed;Completion date;Project Age (Days taken Open Projects);Age Category;Project Age (Open and Closed);Proof Approved (Conventional);Proof Approved (Digital);Masterbatch requested;Masterbatch received;Injection trial requested;Injection trial received;Blowmould trial requested;Blowmould trial received;Extrusion requested;Extrusiuon received;Digital trial sent;Digital trial received (actual dates have replaced crosses for latest trials);Year;Month;Month Name
2018-10-29;14180;C0100SUN000F;PET;;Order (a/w);Renew Tissue Oil Cocoa Butter 100ml;Sunray Cosm.;Karen;148013/1;50;Natural;;PET;;;;Brown 7525c;;;PP;;;X;1900-01-00;-;-;;;;;14;Closed;2019-01-29;;;;;;;;;;;;;;;;;;,
2018-10-29;14181;C0100SUN001F;PET;;Order (a/w);Renew Tissue  Oil Magnolia 100ml;Sunray Cosm.;Karen;148015/0;50;Natural;;PET;;;;Pink 675c;;;PP;;;X;1900-01-00;-;-;;;;;14;Closed;2019-01-29;;;;;;;;;;;;;;;;;;,
2018-10-29;14182;C0100SUN002F;PET;;Order (a/w);U Save Tissue Oil Cocoa Butter 100ml;Sunray Cosm.;Karen;148006/0;50;Natural;;PET;;;;Brown 168c;;;PP;;;X;1900-01-00;-;-;;;;;14;Closed;2019-01-29;;;;;;;;;;;;;;;;;;,
2018-10-29;14183;C0100SUN003F;PET;;Order (a/w);U Save Tissue Oil Magnolia 100ml;Sunray Cosm.;Karen;148024/2;50;Natural;;PET;;;;Pink 183c;;;PP;;;X;1900-01-00;-;-;;;;;14;Closed;2019-01-29;;;;;;;;;;;;;;;;;;,
2018-10-30;14184;CLIDSBRI018F;Lid;;Order;OSH Std Lid 250ml - Prl White;Canway;Seelan;151171/0;20;;;;;;;Prl White (BMWHT013);;;PP;;;;1900-01-00;-;-;;;INJECTION;;20;Closed;2019-03-13;;;;;;;;;;;;;;;;;;,
2018-10-30;14185;CCAPSSUN000F;CAP;;Order;Umbrella Cap Brown 100ml;Sunray Cosm.;Karen;148014/1;50;Natural;;PET;;;;Brown 7525c;;;PP;;;;1900-01-00;-;-;;;;;6;Closed;2018-12-04;;;;;;;;;;;;;;;;;;,
2018-10-30;14186;CCAPSSUN001F;CAP;;Order;Umbrella Cap Pink 100ml;Sunray Cosm.;Karen;148017/1;50;Natural;;PET;;;;Pink 675c;;;PP;;;;1900-01-00;-;-;;;;;7;Closed;2018-12-12;;;;;;;;;;;;;;;;;;,
2018-10-30;14187;CCAPSSUN002F;CAP;;Order;Umbrella Cap Brown 100ml;Sunray Cosm.;Karen;148007/0;50;Natural;;PET;;;;Brown 168c;;;PP;;;;1900-01-00;-;-;;;;;6;Closed;2018-12-04;;;;;;;;;;;;;;;;;;,
2018-10-30;14188;CCAPSSUN003F;CAP;;Order;Umbrella Cap Pink 100ml;Sunray Cosm.;Karen;148027/0;50;Natural;;PET;;;;Pink 183c;;;PP;;;;1900-01-00;-;-;;;;;6;Closed;2018-12-05;;;;;;;;;;;;;;;;;;,
2018-10-30;14189;C0030STD100F;PET;;Order;30ml PET Clear 24mm Neck (0.5 RPET);Rekara Mills;Warren;148294/1;20;Natural;;PET;;;;Black;;;PP;;;;1900-01-00;-;-;;;;;33;Closed;2019-06-14;;;;;;;;;;;;;;;;;;,
