Date_Log,Trial_Description,Num_Colours,Order_Status,Tubes_Status,Plates_Status,PP_Num,DIA,Specifications,Completion_Date,Comments,Source_Week
2026-02-16,SolonCare,,,,,20891,35,35x120/10 PBL,2026-02-16,,Week 8
2026-02-16,SolonCare,,,,,20892,35,35 x120/10 PBL,2026-02-16,,Week 8
,Laminate  Assebly Week 8,,,,,,,,,,Week 8
2025-12-11,Luxury Lotion Neroli 50ml,D,,,,20850,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 8
2025-12-11,Luxury Lotion Rose Geranium 50ml,D,,,,20851,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 8
2026-02-16,SolonCare,,,,,20891,35,35x120/10 PBL,2026-02-16,,Week 8
2026-02-16,SolonCare,,,,,20892,35,35 x120/10 PBL,2026-02-16,,Week 8
,Foil Week 8,,,,,,,,,,Week 8
2025-12-12,Luxury Lotion Neroli 50ml,D,,,,20850,35,35x100/4 ABL Silver,2026-02-18,Bytjie Salf,Week 8
2025-12-12,Luxury Lotion Rose Geranium 50ml,D,,,,20851,35,35x100/4 ABL Silver,2026-02-18,Bytjie Salf,Week 8
2026-02-16,SolonCare,,,,,20891,35,35x120/10 PBL,2026-02-18,,Week 8
2026-02-16,SolonCare,,,,,20892,35,35 x120/10 PBL,2026-02-18,,Week 8
2026-02-18,Dermaplex,2,,,,20972,50,50x130/10 LDPE White%,,,Week 8
,Offset  Trail Week 8,,,,,,,,,,Week 8
,S/S  Week 8,,,,,,,,,,Week 8
,Cuticura Overseas Plates,,,,,,,,,Wait on Plates from Oversees. Cindy busy with these. May be manufactured oversees.,Week 9
,Simply Florals Magnolia,,,,,20879,25,25x95/4 LDPE Lilac,,,Week 9
2026-02-27,Simply Florals Rose,,,,,20880,25,25x95/4 LDPE Pink,2026-02-28,,Week 9
2026-02-27,Simply Florals Magnalia,,,,,20881,35,35x110/4 LDPE Lilac,,,Week 9
2026-02-27,Simply Florals Vanilla,,,,,20883,35,35x110/4 LDPE Beige,,,Week 9
2026-02-20,Simply Florals Rose,,,,,20882,35,35x110/4 LDP Pink,29 feb 2026,,Week 9
2025-12-02,Castor Oil,3,,,,20747,35,35x120/10 COEX BLACK,2026-01-19,8/12 needs to be retrialled,Week 9
,Castor Oil,3,,,,20748,50,50X160/10 Coex Black,2025-12-12,8/12 needs to be retrialled,Week 9
,Presta,4,x,x,x,20875,50,50x180/10Coex Black,,,Week 9
,Presta,4,x,x,x,20876,50,50x180/10Coex Black,,,Week 9
,oud,2,,,,19875,50,50x180/10Coex Black,,,Week 9
,oud,2,,,,19876,50,50x180/10Coex Black,,,Week 9
,House of Aloe,,,x,,20865,35,35x120/10 LDPE Brown,,Excisting art with a twistC35TBHOA039F)  Green change to spot Laq.,Week 9
2026-01-26,Young Solution,3,,,,20375,50,50x130/10 COEX Red,,No Signed artwork yet 17/11/25 still nothing,Week 9
,Laminate Print Trial/Cindi Week 9,,,,,,,,,,Week 9
,Laminate  Assebly Week 9,,,,,,,,,,Week 9
,Foil Week 9,,,,,,,,,,Week 9
2026-02-18,Dermaplex,2,,,,20972,50,50x130/10 LDPE White,2026-02-23,,Week 9
,Offset  Trail Week 9,,,,,,,,,,Week 9
,S/S  Week 9,,,,,,,,,,Week 9
,Cuticura Overseas Plates,,,,,,,,,Wait on Plates from Oversees. Cindy busy with these. May be manufactured oversees.,Week 10
2026-02-27,Simply Florals Magnolia,7,x,x,x,20879,25,25x95/4 LDPE Lilac,2026-03-03,,Week 10
2026-02-27,Simply Florals Magnalia,7,x,x,x,20881,35,35x110/4 LDPE Lilac,2026-02-28,,Week 10
2026-02-27,Simply Florals Vanilla,7,x,x,x,20883,35,35x110/4 LDPE Beige,,,Week 10
2026-03-04,Medirite,6,x,,x,20982,35,35x90/4 Coex White,,,Week 10
2026-03-04,Caribbean Tinted,4,,x,,20954,50,50x160/10 Coex Cream,,,Week 10
2026-03-04,Caribbean Tinted,4,,x,,20955,50,50x160/10 Coex Cream,,,Week 10
2026-03-04,Caribbean Tinted,4,,x,,20956,50,50x160/10 Coex Cream,,,Week 10
2026-02-27,Environ RAD Active SPF20 100ml,2,,,x,20980,,35x150/2 ABL White,,,Week 10
2025-12-02,Castor Oil,3,,,,20747,35,35x120/10 COEX BLACK,2026-01-19,8/12 needs to be retrialled,Week 10
,Castor Oil,3,,,,20748,50,50X160/10 Coex Black,2025-12-12,8/12 needs to be retrialled,Week 10
,Presta,4,x,x,x,20875,50,50x180/10Coex Black,,,Week 10
,Presta,4,x,x,x,20876,50,50x180/10Coex Black,,,Week 10
,oud,2,,,,19875,50,50x180/10Coex Black,,,Week 10
,oud,2,,,,19876,50,50x180/10Coex Black,,,Week 10
,House of Aloe,,,x,,20865,35,35x120/10 LDPE Brown,,Excisting art with a twistC35TBHOA039F)  Green change to spot Laq.,Week 10
2026-01-26,Young Solution,3,,,,20375,50,50x130/10 COEX Red,,No Signed artwork yet 17/11/25 still nothing,Week 10
,Laminate Print Trial/Cindi Week  10,,,,,,,,,,Week 10
,Laminate  Assebly Week 10,,,,,,,,,,Week 10
,Foil Week 10,,,,,,,,,,Week 10
,Simply Florals Magnolia,,,,,20879,25,25x95/4 LDPE Lilac,,,Week 10
2026-02-27,Simply Florals Magnalia,,,,,20881,35,35x110/4 LDPE Lilac,,,Week 10
2026-02-27,Simply Florals Vanilla,,,,,20883,35,35x110/4 LDPE Beige,,,Week 10
,Offset  Trail Week 10,,,,,,,,,,Week 10
,S/S  Week 10,,,,,,,,,,Week 10
,Cuticura Overseas Plates,,,,,,,,,Wait on Plates from Oversees. Cindy busy with these. May be manufactured oversees.,Week 11
2026-02-27,Simply Florals Vanilla,7,x,x,x,20883,35,35x110/4 LDPE Beige,,,Week 11
2026-03-04,Medirite,6,x,,x,20982,35,35x90/4 Coex White,,,Week 11
,Arthrosan Gel,4,,,,21039,40,40x120/10 Coex White,,,Week 11
,Intrigue,2,,,,20969,40,40x105/10 Coex Maroon,,,Week 11
2026-03-04,Caribbean Tinted,4,,x,,20954,50,50x160/10 Coex Cream,,,Week 11
2026-03-04,Caribbean Tinted,4,,x,,20955,50,50x160/10 Coex Cream,,,Week 11
2026-03-04,Caribbean Tinted,4,,x,,20956,50,50x160/10 Coex Cream,,,Week 11
,Intrigue,2,,,,20970,50,50x160/10 Coex Maroon,,,Week 11
2026-02-27,Environ RAD Active SPF20 100ml,2,,,x,20980,,35x150/2 ABL White,2026-03-09,,Week 11
,Environ Change head,,,,,,,,,,Week 11
,Environ Change head,,,,,,,,,,Week 11
2025-12-02,Castor Oil,3,,,,20747,35,35x120/10 COEX BLACK,2026-01-19,8/12 needs to be retrialled,Week 11
,House of Aloe,,,x,,20865,35,35x120/10 LDPE Brown,,Excisting art with a twistC35TBHOA039F)  Green change to spot Laq.,Week 11
2026-03-06,Insect Repellant,5,x,x,x,20920,40,40x120/10 Coex Orange,,,Week 11
,Castor Oil,3,,,,20748,50,50X160/10 Coex Black,2025-12-12,8/12 needs to be retrialled,Week 11
,Presta,4,x,x,x,20875,50,50x180/10Coex Black,,,Week 11
,Presta,4,x,x,x,20876,50,50x180/10Coex Black,,,Week 11
,oud,2,,,,19875,50,50x180/10Coex Black,,Retrial,Week 11
,oud,2,,,,19876,50,50x180/10Coex Black,,Retrial,Week 11
2026-01-26,Young Solution,3,,,,20375,50,50x130/10 COEX Red,,No Signed artwork yet 17/11/25 still nothing,Week 11
,Laminate Print Trial/Cindi Week  11,,,,,,,,,,Week 11
,Laminate  Assebly Week 11,,,,,,,,,,Week 11
,Foil Week 11,,,,,,,,,,Week 11
,Environ Change head,,,,,,,,,,Week 11
,Environ Change head,,,,,,,,,,Week 11
,Offset  Trail Week 11,,,,,,,,,,Week 11
,S/S  Week 11,,,,,,,,,,Week 11
,Cuticura Overseas Plates,,,,,,,,,Wait on Plates from Oversees. Cindy busy with these. May be manufactured oversees.,Week 12
2026-03-18,Ori Eye Cream,4,,x,x,21029,22,22x80/4 Coex White,,,Week 12
2026-02-27,Simply Florals Vanilla,7,x,x,x,20883,35,35x110/4 LDPE Beige,,,Week 12
2026-03-04,Medirite,6,x,,x,20982,35,35x90/4 Coex White,,,Week 12
2026-03-12,Environ MS Gel,3,,,x,,35,35x110/2 ABL White,2026-03-14,Retrial  due to registration out,Week 12
2026-03-18,Arthrosan Gel,4,,,x,21039,40,40x120/10 Coex White,,,Week 12
2026-03-18,Intrigue,2,x,,x,20969,40,40x105/10 Coex Maroon,,must do this first,Week 12
,Ruah,3,,,,21060,40,40x103/10 Coex White,,,Week 12
2026-03-04,Caribbean Tinted,4,,x,,20954,50,50x160/10 Coex Cream,,17/3 on hold Rob To Sort Out colours and layout 23/1/26,Week 12
2026-03-04,Caribbean Tinted,4,,x,,20955,50,50x160/10 Coex Cream,,17/3 on hold Rob To Sort Out colours and layout 23/1/26,Week 12
2026-03-04,Caribbean Tinted,4,,x,,20956,50,50x160/10 Coex Cream,,17/3 on hold Rob To Sort Out colours and layout 23/1/26,Week 12
2026-03-18,Intrigue,2,x,,x,20970,50,50x160/10 Coex Maroon,,Must run longer tubes,Week 12
2026-03-18,Revlon,3,x,x,x,21065,50,,,,Week 12
,Woolworths Kids Body Lotion 250ml,,,,,20908,,Portia,,27 march???????????,Week 12
2026-01-29,House of Aloe,,,x,,20865,35,35x120/10 LDPE Brown,,Excisting art with a twistC35TBHOA039F)  Green change to spot Laq.,Week 12
2026-03-06,Insect Repellant,5,x,x,x,20920,40,40x120/10 Coex Orange,,Machine break down,Week 12
2026-01-29,Presta,4,x,x,x,20875,50,50x180/10Coex Black,,Machine break down,Week 12
2026-01-29,Presta,4,x,x,x,20876,50,50x180/10Coex Black,,Machine break down,Week 12
2026-01-29,oud,2,,,,19875,50,50x180/10Coex Black,,Retrial Machine break down,Week 12
2026-01-29,oud,2,,,,19876,50,50x180/10Coex Black,,Retrial Machine break down,Week 12
2026-01-26,Young Solution,3,,,,20375,50,50x130/10 COEX Red,,No Signed artwork yet 17/11/25 still nothing. Machine break down,Week 12
,Laminate Print Trial/Cindi Week  12,,,,,,,,,,Week 12
,Laminate  Assebly Week 12,,,,,,,,,,Week 12
,Foil Week 12,,,,,,,,,,Week 12
2026-03-16,Environ MS Gel,3,,,,,35,35x110/2 ABL White,,,Week 12
,Offset  Trail Week 11,,,,,,,,,,Week 12
,S/S  Week 11,,,,,,,,,,Week 12
