Pre-Prod No.;Product Code;Works Order;Unit Order No;Raw Code;Sales Rep;Client;Description;Qty_Including Waste;Artwork Order;Due for SAESA;Diameter;Material;Length;Orifice;Order;Proof;Proof Approved (Digital);Digital Trial;Digital Trial No;Trial approved;Revised Artwork After Trialling;Foil;Cap_Lid Style;Status;Closed;Repeat Job;T1_Date;Retrial T2;Retrial T3;Retrial T4;Retrial T5;Trial Comments
13420_4;C40LTAVR055F (Add 3);W00143441;#NAME?;CLAM129AVR055W;Linda;Canway;Avroy Pure Mint Oil Rough Skin Remover 125ml;11000;4500341951  ;x;40;PBL;140;10;x;x;x;Repeat;Repeat;Repeat;0;;F/T B/O;;closed;x;;;;;;
13360_7;C40LTCAN000F (Add 7);W00143437;#NAME?;CLAM129CAN000W;Seelan;Canway;DR Sole Rough Skin Foot Scrub 100ml;6200;STEPHANIE 1/12/2017  ;x;40;PBL;120;6;x;x;x;Repeat;Repeat;Repeat;0;;A;;closed;x;;;;;;
13645_2;C40LTNTR003F (Add 1);W00144549;#NAME?;CLAM129NTR003W;Nicole;Nutriwoman;HG Hair Removal Cream Regular 125ml;3200;repeat;x;40;ABL White;145;4;x;x;x;Repeat;Repeat;Repeat;0;;A;;closed;x;;;;;;
13465_7;C25LTCAN004F (Add 6);W00143701;#NAME?;CLAM082CAN004W;Seelan;Canway;Soft Touch Mini Hand Cream 25ml ;6000;POA10099  ;x;25;PBL;90;4;x;x;x;Repeat;Repeat;Repeat;0;;A;;closed;x;;;;;;
14835_2;C40LTPOR001F (Add 1);W00143647;#NAME?;CLAM129POR001W;Karen;Portia M Skin Solutions;Pomegranate Face Wash 150ml;16600;repeat;x;40;PBL;170;10;x;x;x;Repeat;Repeat;Repeat;0;;F/T B/O;;closed;x;;;;;;
14979_2;C35LTPOR003F (Add 1);W00143672;#NAME?;CLAM113POR003W;Karen;Portia M Skin Solutions;Marula Skin Oil Hand Cream - 100ml;16200;N/C  ;x;35;PBL;150;10;x;x;x;Repeat;Repeat;Repeat;0;;F/T B/O;;closed;x;;;;;;
14023_2;C25LTSAA005F (Add 1);W00143813;#NAME?;CLAM082SAA005W;Wayne;Saradox;GS Coconut Cre'me & Sandalwood Hand Cream 30ml;1000;PO-003704  ;x;25;ABL Silver;105;4;x;x;x;Repeat;Repeat;Repeat;0;;A;;closed;x;;;;;;
15226;C40LTALC000F;W00144000;157484/6;CLAM129ALC000W;Wayne;Alco ;Alco Colour Rush 125ml;1500;CWO payment 10/10  ;x;40;ABL Silver;150;10;x;x;x;x 18/10;1;43759;0;;F/T B/O;;closed;New;2019/10/18;;;;;
15136_1;C25LTSAA007F (Add);W00143804;#NAME?;CLAM082SAA007W;Wayne;Saradox;GS Bee Natural Foot Cream Wild Honey Shea Butter & Sweet Almond Oil 30ml;1800;repeat;x;25;PBL;105;4;x;x;x;Repeat;Repeat;Repeat;0;;A;;closed;x;;;;;;
14951_2;C40LTCAN004F (Add 1);W00143433;#NAME?;CLAM129CAN004W;Seelan;Canway;OSH Happy Hands Creamy Caress Hand Cream 140ml;6000;repeat;x;40;PBL;165;10;x;x;x;Repeat;Repeat;Repeat;0;;F/T B/O;;closed;x;;;;;;
15242;C35LTHVP001F;W00144106;157638/0;CLAM113HVP001W;Rob;Bio Earth Man.;Skin Deep 50ml ;6000;BE-01279  ;x;35;PBL;100;4;x;x;x;x28/10;1;43767;0;;A;;closed;New;2019/10/28;;;;;
15243;C35LTWIL015F;W00144065;157632/0;CLAM113WIL015W;Rob;Sea Spirit Trading 243 cc;Shower Gel 60ml;5700;BARRY 17/10  ;x;35;PBL;100;10;x;x;x;x30/10;1;43775;0;;F/T B/O;;closed;New;2019/10/30;;;;;
15244;C35LTWIL014F;W00144060;157631/0;CLAM113WIL014W;Rob;Sea Spirit Trading 243 cc;Hand & Body Lotion 60ml;5700;BARRY 17/11  ;x;35;PBL;100;10;x;x;x;x30/11;1;43775;0;;F/T B/O;;closed;New;2019/10/31;;;;;
15248;C35LTDEV005F;W00144428;157639/0;CLAM113DEV005W;Karen;WBMED (PTY) Ltd;Basix Skin Defence Cream with Kigelia Africana 50ml;5600;VODS8V9H253F  ;x;35;PBL;100;4;x;x;x;x28/10;1;43768;0;;A;;closed;New;2019/10/28;;;;;
15252;C25LTFUL001F;W00144489;157640/0;CLAM082FUL001W;Wayne;Fulvimed;FulviRex Athletes Foot & Antifungal cream 25g;5700;4236  ;x;25;PBL;100;4;x;x;x;x28/10;1;43767;0;;A;;closed;New;2019/10/28;;;;;
